Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00002;Remise à Jorelle;Remise à Jorelle;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Remise à Jorelle;93140;Bondy;93-010;Seine-Saint-Denis;Île-de-France;2.487751;48.893170;0087988709;RJL;b;;;;;48.89317, 2.487751
00006;Ur les Escaldes;Ur les Escaldes;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Ur les Escaldes;66760;Ur;66-218;Pyrénées-Orientales;Occitanie;1.9404821;42.457481;0087784884;URL;c;1;;;;42.457481, 1.9404821
00011;Saillagouse;Saillagouse;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Saillagouse;66800;Saillagouse;66-167;Pyrénées-Orientales;Occitanie;2.0321126;42.4568855;0087784835;SGW;c;1;;;;42.4568855, 2.0321126
00041;Perpignan;Perpignan;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Perpignan;66027;Perpignan;66-136;Pyrénées-Orientales;Occitanie;2.879779;42.696292;0087784009;PPN;a;2;;;;42.696292, 2.879779
00045;Bagnols - Chadenet;Bagnols - Chadenet;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Bagnols - Chadenet;48190;Allenc;48-003;Lozère;Occitanie;3.628178;44.5286125;0087783647;BCT;c;1;;;;44.5286125, 3.628178
00052;Saint-Rome-de-Cernon;Saint-Rome-de-Cernon;Oui;Non;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;UG Midi Pyrenées TER;;1;1;Saint-Rome-de-Cernon;12490;Saint-Rome-de-Cernon;12-243;Aveyron;Occitanie;2.9673744;44.013981;0087783431;SDO;c;1;;;;44.013981, 2.9673744
00054;Sévérac-le-Château;Sévérac-le-Château;Oui;Non;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;UG Midi Pyrenées TER;;1;1;Sévérac-le-Château;12150;Sévérac d'Aveyron;12-270;Aveyron;Occitanie;3.0569451;44.3246516;0087783365;SVC;c;1;;;;44.3246516, 3.0569451
00057;Le Monastier;Le Monastier;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Le Monastier;48100;Bourgs sur Colagne;48-099;Lozère;Occitanie;3.252057;44.5089682;0087783308;LMR;c;1;;;;44.5089682, 3.252057
00074;Vias;Vias;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Vias;34450;Vias;34-332;Hérault;Occitanie;3.4253562;43.315653;0087781260;VAB;c;1;;;;43.315653, 3.4253562
00077;Narbonne;Narbonne;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Narbonne;11100;Narbonne;11-262;Aude;Occitanie;3.005910;43.190387;0087781104;NBN;a;2;;;;43.190387, 3.00591
00082;Aigues-Mortes;Aigues-Mortes;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Aigues-Mortes;30220;Aigues-Mortes;30-003;Gard;Occitanie;4.1912102;43.5709008;0087775858;AIM;c;1;;;;43.5709008, 4.1912102
00083;Saint-Laurent-d'Aigouze;Saint-Laurent-d'Aigouze;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Saint-Laurent-d'Aigouze;30220;Saint-Laurent-d'Aigouze;30-276;Gard;Occitanie;4.1930703;43.6392883;0087775841;XLZ;c;1;;;;43.6392883, 4.1930703
00084;Aimargues;Aimargues;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Aimargues;30470;Aimargues;30-006;Gard;Occitanie;4.2082933;43.6786107;0087775833;AIA;c;1;;;;43.6786107, 4.2082933
00103;Sainte-Cécile-d'Andorge;Sainte-Cécile-d'Andorge;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Sainte-Cécile-d'Andorge;30110;Sainte-Cécile-d'Andorge;30-239;Gard;Occitanie;3.9758497;44.2554362;0087775239;SCZ;c;1;;;;44.2554362, 3.9758497
00111;Vergèze - Codognan;Vergèze - Codognan;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Vergèze - Codognan;30310;Vergèze;30-344;Gard;Occitanie;4.218842;43.739877;0087775114;VZC;b;1;;;;43.739877, 4.218842
